Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
80,20413525,6,1917,1917,0,319.5,782.6119728,304,0,60.8,135.952933,108.8004154,0.538858428,2041352.5,4259665.163,10200000,33,20400000,4074530.0,5541364.596,10200000,3919,20400000,5094276.0,5855229.797,10200000,6216,140,112,0.293922779,0.244935649,0,1917,185.0833333,552.3696816,305112.2652,0,1,0,201.9090909,1917,29200,8201,1,20,63169.0,84018,42320,10100000.0,10200000,10000000,Normal Traffic
80,98509484,9,310,310,0,34.44444444,103.3333333,8699,0,2319.0,3639.272043,120.8513081,0.142118296,7577652.615,27300000.0,98500000,1,98500000,12300000.0,34800000.0,98500000,1,7226,1806.5,3273.437795,6715,52,296,168,0.091361762,0.050756534,0,8699,793.6666667,2244.254686,5036679.095,0,0,1,850.3571429,310,251,235,1,32,14155.0,14155,14155,98500000.0,98500000,98500000,DoS
80,100578727,5,317,305,0,63.4,135.0918206,8688,0,2319.0,3776.347044,118.4345871,0.099424603,11200000.0,33500000.0,100000000,57,100000000,25100000.0,50200000.0,100000000,969,101000000,25100000.0,50200000.0,100000000,187,144,168,0.049712301,0.049712301,0,8688,1083.454545,2666.692984,7111251.473,1,0,0,1191.8,317,0,235,2,20,10988.0,10988,10988,100000000.0,100000000,100000000,DoS
61652,32,1,6,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,31250.0,31250.0,6,6,6.0,0.0,0.0,0,0,1,9.0,6,119,255,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,225,2,112,56,56,56.0,0.0,184,184,184.0,0.0,2133333.333,17777.77778,75.0,87.67553821,173,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,64,64,8888.888889,8888.888889,56,184,107.2,70.10848736,4915.2,0,0,0,134.0,112,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,38366,1,55,55,55,55.0,0.0,111,111,111.0,0.0,4326.747641,52.12948965,38366.0,0.0,38366,38366,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,26.06474483,26.06474483,55,111,73.66666667,32.33161507,1045.333333,0,0,0,110.5,55,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,44645,4,120,30,30,30.0,0.0,97,97,97.0,0.0,11378.65382,179.1913988,6377.857143,12033.1888,31443,1,44378,14792.66667,25578.36024,44328,1,13153,4384.333333,7549.754323,13102,3,104,104,89.59569941,89.59569941,30,97,59.77777778,35.31210054,1246.944444,0,0,0,67.25,120,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
2042,1,2,4,2,2,2.0,0.0,0,0,0.0,0.0,4000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,48,0,2000000.0,0.0,2,2,2.0,0.0,0.0,0,1,0,3.0,4,1024,-1,1,24,0.0,0,0,0.0,0,0,Normal Traffic
54782,160,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12500.0,160.0,0.0,160,160,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,6250.0,6250.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,122,33304,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,47836,2,68,34,34,34.0,0.0,153,153,153.0,0.0,7818.379463,83.61903169,15945.33333,27612.0653,47829,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,40,40,41.80951585,41.80951585,34,153,81.6,65.17898434,4248.3,0,0,0,102.0,68,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
443,116662376,20,1451,384,0,72.55,112.6262917,1398,0,307.1666667,491.6808207,59.83077183,0.325726265,3153037.189,13300000.0,58300000,1,117000000,6140125.053,18300000.0,58300000,48,117000000,6860452.176,19300000.0,58300000,1,648,584,0.171434876,0.154291389,0,1398,178.974359,359.2797244,129081.9204,0,1,0,183.6842105,1451,29200,131,9,32,167833.0,301072,34594,58100000.0,58300000,58000000,Normal Traffic
53,201,2,88,44,44,44.0,0.0,236,236,236.0,0.0,2786069.65174129,19900.4975124378,67.0,109.986362791,194,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,40,40,9950.2487562189,9950.2487562189,44,236,120.8,105.162731041,11059.2,0,0,0,151.0,88,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
443,3329667,7,1589,1257,0,227.0,460.1945240874,1460,2,428.5,643.8078684115,1506.7572823348,4.504955,237833.357142857,787544.30645516,2968866,4,360797,60132.8333333333,63483.9791740142,121047,368,3213047,459006.714285714,1108179.64375182,2968929,4,152,164,2.1023123333,2.4026426667,0,1460,313.5625,543.3569690667,295236.795833333,0,1,0,334.4666666667,1589,8192,32682,6,20,0.0,0,0,0.0,0,0,Normal Traffic
53,23772,1,45,45,45,45.0,0.0,123,123,123.0,0.0,7067.137809,84.13259297,23772.0,0.0,23772,23772,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,32,42.06629648,42.06629648,45,123,71.0,45.033321,2028.0,0,0,0,106.5,45,-1,-1,0,40,0.0,0,0,0.0,0,0,Normal Traffic
53,117326,4,180,45,45,45.0,0.0,193,193,193.0,0.0,4824.165147,51.13955986,23465.2,36525.26479,83326,47,33952,11317.33333,19519.05793,33856,47,48,48.0,0.0,48,48,104,64,34.09303991,17.04651995,45,193,87.28571429,72.2166054,5215.238095,0,0,0,101.8333333,180,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
21,238,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,58823.52941,12605.04202,119.0,56.56854249,159,79,238,238.0,0.0,238,238,0,0.0,0.0,0,0,64,20,8403.361345,4201.680672,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,Brute Force
53,272,2,96,48,48,48.0,0.0,206,206,206.0,0.0,1867647.059,14705.88235,90.66666667,154.4420064,269,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,64,64,7352.941176,7352.941176,48,206,111.2,86.54016409,7489.2,0,0,0,139.0,96,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,30707,1,43,43,43,43.0,0.0,139,139,139.0,0.0,5926.987332,65.13172892,30707.0,0.0,30707,30707,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,32.56586446,32.56586446,43,139,75.0,55.42562584,3072.0,0,0,0,112.5,43,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,431415,3,26,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,26964.75551,20.86158339,53926.875,152186.915,430570,2,582,291.0,387.4945161,565,17,431403,86280.6,192463.7798,430570,2,72,132,6.953861131,13.90772226,0,5840,1163.3,2138.329153,4572451.567,0,1,0,1292.555556,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,3088762,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.94252584,617752.4,904314.5487,2023219,45,1065480,532740.0,719855.9165,1041755,23725,3065082,1532541.0,693923.4824,2023219,1041863,84,84,0.97126292,0.97126292,0,0,0.0,0.0,0.0,0,1,0,0.0,0,8192,29,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,60896,2,80,40,40,40.0,0.0,88,88,88.0,0.0,4203.888597,65.68575933,20298.66667,35152.25982,60889,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,64,32.84287966,32.84287966,40,88,59.2,26.29068276,691.2,0,0,0,74.0,80,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,150,2,74,37,37,37.0,0.0,69,69,69.0,0.0,1413333.333,26666.66667,50.0,81.40638796,144,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,13333.33333,13333.33333,37,69,49.8,17.52712184,307.2,0,0,0,62.25,74,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,263,2,70,35,35,35.0,0.0,230,230,230.0,0.0,2015209.125,15209.12548,87.66666667,147.5138412,258,2,3,3.0,0.0,3,3,2,2.0,0.0,2,2,40,40,7604.562738,7604.562738,35,230,113.0,106.8058987,11407.5,0,0,0,141.25,70,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
80,98036675,6,322,322,0,53.66666667,131.4559495,5792,0,1932.5,2534.051598,121.5565501,0.122403172,8912425.0,29600000.0,98000000,1,98000000,19600000.0,43800000.0,98000000,1,4426,885.2,1741.705687,3999,48,200,200,0.061201586,0.061201586,0,5792,916.6923077,1908.181656,3641157.231,0,0,1,993.0833333,322,274,235,1,32,2.0,2,2,98000000.0,98000000,98000000,DoS
53,36770492,2,76,38,38,38.0,0.0,38,38,38.0,0.0,4.133749421,0.108782879,12300000.0,20900000.0,36400000,593,36800000,36800000.0,0.0,36800000,36800000,36400000,36400000.0,0.0,36400000,36400000,52,52,0.05439144,0.05439144,38,38,38.0,0.0,0.0,0,0,0,47.5,76,-1,-1,1,20,338335.0,338335,338335,36400000.0,36400000,36400000,Normal Traffic
52549,113,1,6,6,6,6.0,0.0,6,6,6.0,0.0,106194.6903,17699.11504,113.0,0.0,113,113,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,8849.557522,8849.557522,6,6,6.0,0.0,0.0,0,0,1,9.0,6,946,255,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,10177250,4,336,336,0,84.0,168.0,338,0,84.5,169.0,66.2261416394,0.7860669631,1453892.85714286,3769454.95306083,10001702,4,175548,58516.0,50403.5750815356,87672,315,10089745,3363248.33333333,5749291.47848814,10001764,4,136,136,0.3930334815,0.3930334815,0,338,74.8888888889,148.6038731363,22083.1111111111,0,1,0,84.25,336,29200,119,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,16035851,4,352,352,0,88.0,176.0,5792,0,1932.5,2537.820147,745.0181472,0.623602701,1781761.222,5343777.371,16000000,3,16000000,5344236.333,9255731.091,16000000,107,3972,794.4,1232.586427,2868,3,144,200,0.24944108,0.374161621,0,5792,1086.090909,2043.486455,4175836.891,0,1,0,1194.7,352,29200,235,1,32,0.0,0,0,16000000.0,16000000,16000000,DoS
53,30726,2,64,32,32,32.0,0.0,48,48,48.0,0.0,5207.316279,130.182907,10242.0,17733.6022,30719,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,64,65.09145349,65.09145349,32,48,38.4,8.76356092,76.8,0,0,0,48.0,64,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
443,10433767,12,5605,1852,0,467.0833333333,785.1799398092,2341,0,832.4285714286,989.4214870928,1654.1484968948,2.4919092021,417350.68,1996256.96729285,9998811,6,434745,39522.2727272727,19753.9709177214,73661,214,10401433,800110.230769231,2764177.2426179,9998866,49,392,456,1.1501119394,1.3417972627,0,2341,639.2222222222,894.3150508945,799799.41025641,0,1,0,663.8076923077,5605,29200,88,5,32,434745.0,434745,434745,9998811.0,9998811,9998811,Normal Traffic
53,31179,2,70,35,35,35.0,0.0,187,187,187.0,0.0,14240.3540844799,128.2914782386,10393.0,17996.0078906406,31173,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,64,64,64.1457391193,64.1457391193,35,187,95.8,83.2538287408,6931.2,0,0,0,119.75,70,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,6028903,5,30,6,6,6.0,0.0,0,0,0.0,0.0,4.976029636,0.829338273,1507225.75,3012420.277,6025856,1,6028903,1507225.75,3012420.277,6025856,1,0,0.0,0.0,0,0,100,0,0.829338273,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,3047.0,3047,3047,6025856.0,6025856,6025856,DDoS
